"name","price","model","mileage"
"پرایم","1450000000","1401","8000"
"سراتو","1100000000","1397","110000"
"جی،","500000000","1388","173000"
"تیگوان","805032704","1396","0"
"ایکس","1544967296","1395","60000"
"H220","300000000","1397","80000"
"206","335000000","1399","24600"
"پارس","430000000","1397","63000"
"S5","930000000","1398","15500"
"3","1380000000","1397","104000"
"سانتافه","1664967296","1394","70000"
"جی","370000000","1394","91000"
"تالیسمان","2024967296","1395","48000"
"راوفور","844967296","1395","63000"
"سوناتا","1430000000","1390","130000"
"3","680000000","1388","220000"
"سورنتو","994967296","1395","45000"
"ولستر","990000000","1392","200000"
"CS","617000000","1396","59000"
"ساندرو","640000000","1397","102000"
"تندر","285000000","1391","175000"
"پارس","210000000","1389","200000"
"ایکس","1714967296","1395","90000"
"پانامرا","1005032704","1389","93000"
"وای","720000000","1397","73000"
"سانتافه","980000000","1386","117000"
"النترا","1580000000","1394","61000"
"S5","735000000","1397","100000"
"206","255000000","1395","141000"
"206","300000000","1395","90000"
"داستر","815000000","1393","115000"
"405","243000000","1396","107000"
"پاسات","1194967296","1396","120000"
"تندر","460000000","1397","63000"
"مگان","620000000","1390","66000"
"چهار","430000000","1386","180000"
"206","262000000","1394","174200"
"سراتو","1254000000","1397","21000"
"جنسیس","1420000000","1389","184000"
"جی،","525000000","1390","173000"
"جی،","435000000","1393","70000"
"207","430000000","1396","20000"
"S5","960000000","1398","0"
"کلاس","305032704","1387","82000"
"NX","55032704","1394","62000"
"RX","89934592","1395","27000"
"کلاس","1205032704","1388","97000"
"فلوئنس","950000000","1393","86000"
"اس،","1450000000","1395","43000"
"تیگوان","55032704","1396","37000"
"207","465000000","1400","13000"
"سانتافه","75032704","1396","0"
"سوناتا","1650000000","1393","160000"
"ساندرو","550000000","1395","103000"
"206","262000000","1396","62500"
"اپتیما","1850000000","1392","52000"
"جنسیس","1544967296","1391","155000"
"سراتو","1350000000","1394","105000"
"داستر","950000000","1395","127000"
"i20","750000000","1393","135000"
"آزرا","900000000","1385","250000"
"ماکسیما","475000000","1382","322000"
"جی،","1700000000","1395","105000"
"H330","510000000","1397","57000"
"ساندرو","725000000","1397","34000"
"206","267000000","1394","88000"
"جنسیس","1230000000","1388","160000"
"جوک","1550000000","1395","65000"
"کپچر","1200000000","1395","31500"
"هایلوکس","794967296","1394","112000"
"S5","900000000","1397","47000"
"RX","644967296","1390","185000"
"ماکسیما","1250000000","1390","88000"
"بیتل","2000000000","1391","100000"
"سانتافه","1094967296","1395","40000"
"توسان","1670000000","1392","118000"
"3","1370000000","1396","88000"
"206","355000000","1400","3900"
"206","190000000","1391","140000"
"مگان","575000000","1391","126000"
"S7","790000000","1396","54000"
"S7","900000000","1397","63000"
"یانگ،","194967296","1400","0"
"سانتافه","1444967296","1395","75000"
"جنسیس","1730000000","1389","175000"
"جوک","1400000000","1395","140000"
"LX","307000000","1399","27700"
"یانگ،","1740000000","1401","0"
"سانتافه","1444967296","1395","70000"
"3","980000000","1391","223000"
"وی","98000000","1388","58000"
"207","400000000","1397","80000"
"3","1150000000","1395","147000"
"3","750000000","1388","107000"
"هایلوکس","1944967296","1392","85000"
"اکسنت","1020000000","1397","80000"
"پلاس","490000000","1399","0"
"207","605000000","1399","20000"
"توسان","820000000","1385","270000"
"206","358000000","1398","46000"
"تونلند","800000000","1398","104600"
"206","345000000","1399","25000"
"پارس","480000000","1401","542"
"LX","260000000","1396","170000"
"206","310000000","1399","34000"
"131","182000000","1398","33000"
"تندر","420000000","1395","105000"
"2008","1535000000","1399","10000"
"وانت","412000000","1400","25000"
"آوانته","430000000","1388","211000"
"S7","1130000000","1401","0"
"گراند","1355000000","1396","94000"
"ام","705032704","1393","52000"
"ام","1240000000","1401","10000"
"ماکان","589934592","1395","48000"
"ام","610065408","1395","24000"
"کلاس","465000000","1380","280000"
"پارس","302000000","1396","72000"
"هایلوکس","1694967296","1392","103000"
"206","300000000","1396","32000"
"اسپورتیج","1680000000","1393","90000"
"سراتو","980000000","1396","80000"
"ریو","299000000","1390","68000"
"S5","1080000000","1401","0"
"پرادو","205032704","1391","80000"
"پرادو","1494967296","1386","200000"
"ماکسیما","1350000000","1391","107000"
"پارس","360000000","1396","120000"
"صندوق","175000000","1397","190000"
"ام","1205032704","1395","65000"
"توسان","2060000000","1395","93000"
"LX","289000000","1398","80000"
"پارس","470000000","1401","0"
"اپتیما","1904967296","1394","80000"
"207","640000000","1400","30000"
"206","335000000","1399","12000"
"3","600000000","1388","200000"
"توسان","1994967296","1395","150000"
"206","290000000","1394","116000"
"ام","1024967296","1392","85000"
"توسان","1450000000","1391","154000"
"توسان","1854967296","1395","75000"
"206","310000000","1398","49000"
"کرولا","1600000000","1393","100000"
"سراتو","1220000000","1398","30000"
"سانتافه","988000000","1386","270000"
"206","360000000","1400","20000"
"سراتو","1140000000","1396","54000"
"206","340000000","1400","36000"
"کلاس","1194967296","1390","100000"
"2008","1150000000","1396","80000"
"B30","570000000","1397","79000"
"یانگ،","1394967296","1396","57000"
"کمری","899000000","1385","219000"
"پرایم","1540000000","1401","0"
"206","335000000","1399","30000"
"LX","292000000","1398","15000"
"گراند","700000000","1388","149700"
"H320","540000000","1397","70000"
"وانت","168000000","1393","161000"
"206","187000000","1389","240000"
"جی","430000000","1394","138000"
"پرایم","1400000000","1401","0"
"توسان","1800000000","1394","50000"
"سانتافه","2100000000","1393","140000"
"تالیسمان","2144967296","1395","24000"
"3","690000000","1389","380000"
"سوناتا","1094967296","1396","30000"
"سوناتا","1950000000","1393","135000"
"ام","1600000000","1388","100000"
"النترا","2094967296","1396","26000"
"النترا","1960000000","1396","38600"
"131","167000000","1397","110000"
"H320","625000000","1399","28000"
"S5","1100000000","1400","0"
"معمولی","342000000","1396","132000"
"گراند","1500000000","1395","26000"
"معمولی","200000000","1398","15000"
"206","162000000","1387","370000"
"206","324000000","1399","30000"
"سراتو","1180000000","1397","44000"
"پارس","390000000","1398","70000"
"تی","1450000000","1391","150000"
"کلاس","189934592","1390","80000"
"ام","189934592","1395","55000"
"آزرا","1500000000","1389","140000"
"ام","1150000000","1400","8400"
"اپتیما","2144967296","1394","120000"
"یانگ،","1540000000","1396","55000"
"NX","85032704","1394","70000"
"405","195000000","1395","264000"
"ام","205032704","1393","90000"
"NX","444967296","1395","71000"
"سوناتا","1944967296","1395","90000"
"اپتیما","1550000000","1392","110000"
"206","99000000","1381","10000"
"LX","299000000","1398","7000"
"دوگانه","180000000","1395","88000"
"یانگ،","1695000000","1401","0"
"206","290000000","1397","68000"
"206","270000000","1396","150000"
"سانتافه","1994967296","1393","50000"
"پرایم","1360000000","1401","0"
"ساندرو","530000000","1396","58000"
"S7","970000000","1398","70000"
"کادنزا","1750000000","1391","165000"
"S7","970000000","1398","40000"
"جی،","430000000","1393","80000"
"سانتافه","1850000000","1390","62300"
"131","145000000","1395","240000"
"405","322000000","1398","60000"
"3","1500000000","1397","26000"
"سورنتو","1290000000","1386","192000"
"207","445000000","1397","120000"
"ساندرو","650000000","1397","73000"
"سوناتا","2094967296","1395","55000"
"207","600000000","1399","28000"
"ساندرو","620000000","1397","60000"
"راوفور","1664967296","1393","130000"
"SX5","930000000","1401","0"
"511","670000000","1400","0"
"هاچ","220000000","1399","70000"
"اپتیما","1700000000","1392","85000"
"سراتو","1155000000","1397","62000"
"ام","994967296","1392","150000"
"S7","895000000","1397","60000"
"اسپورتیج","2030000000","1394","89000"
"سانتافه","2000000000","1389","40000"
"آریزو","1060000000","1401","0"
"ام","105032704","1391","103000"
"ام","5032704","1393","117000"
"3","920000000","1390","180000"
"اسپورتیج","1990000000","1393","72000"
"تندر","440000000","1396","98000"
"گراند","1350000000","1397","87000"
"RX","1144967296","1388","168000"
"206","270000000","1392","75000"
"یانگ،","1875000000","1396","0"
"صندوق","203000000","1398","50000"
"فنگ،","460000000","1397","69000"
"2008","1510000000","1398","18500"
"206","240000000","1395","166000"
"سراتو","1120000000","1397","106000"
"206","253000000","1396","124000"
"سوناتا","780000000","1387","250000"
"S5","875000000","1397","73000"
"وی","495000000","1396","63000"
"فنگ،","420000000","1396","70000"
"وی","600000000","1400","4700"
"کولیوس","1414967296","1395","42000"
"پارس","220000000","1390","239000"
"207","450000000","1400","5000"
"تیگو","680000000","1397","110000"
"206","265000000","1396","160000"
"207","490000000","1397","30000"
"LX","310000000","1399","30000"
"سوناتا","2000000000","1394","102000"
"LX","190000000","1389","145000"
"سراتو","1440000000","1393","130000"
"206","205000000","1389","90000"
"سانتافه","2100000000","1393","95000"
"کمری","910000000","1385","270000"
"ورنا","257000000","1385","196700"
"جی،","605000000","1397","95000"
"S5","822000000","1396","94000"
"ام","89934592","1395","14000"
"206","260000000","1393","83000"
"i20","1280000000","1396","4724"
"فنگ،","415000000","1395","70000"
"توسان","1587000000","1393","109000"
"سوناتا","794967296","1396","20000"
"ام","205032704","1395","95000"
"دوگانه","180000000","1395","108000"
"سراتو","1080000000","1396","69000"
"H330","570000000","1397","31000"
"206","285000000","1394","128000"
"RX","894967296","1388","173000"
"131","132500000","1395","59500"
"صندوق","120000000","1388","118000"
"آزرا","920000000","1386","150000"
"206","263000000","1391","189000"
"H220","335000000","1397","48000"
"کلاس","689934592","1395","5000"
"پاترول","120000000","1371","400000"
"S3","750000000","1400","5000"
"کلاس","289934592","1395","7000"
"کلاس","739934592","1395","3500"
"ایما","1690000000","1401","0"
"ایما","1715000000","1401","0"
"ایما","1680000000","1401","0"
"کلاس","1205032704","1394","44000"
"3","1350000000","1397","79000"
"S5","970000000","1401","15000"
"کپچر","1100000000","1395","76000"
"206","290000000","1395","86000"
"S7","1195000000","1401","0"
"206","180000000","1388","199000"
"صندوق","240000000","1401","0"
"ولستر","950000000","1392","200000"
"وی","750000000","1401","20000"
"هایلوکس","1964967296","1392","117000"
"جی،","460000000","1393","97000"
"جی،","460000000","1393","96000"
"2008","1360000000","1397","57000"
"پارس","175000000","1388","230000"
"i30","750000000","1390","199000"
"سراتو","690000000","1388","80000"
"i20","930000000","1396","117000"
"هایلوکس","1550000000","1386","266000"
"داستر","970000000","1395","60000"
"سوناتا","2060000000","1395","77000"
"کلاس","955032704","1387","67000"
"رونیز","750000000","1386","200000"
"پارس","370000000","1400","0"
"ماتیز","73000000","1381","280000"
"ماکسیما","420000000","1381","310000"
"اسپورتیج","1690000000","1392","200000"
"معمولی","375000000","1397","130000"
"پرایم","1400000000","1400","0"
"وی","125000000","1392","109000"
